Name (Optional),Age,Gender,Email,Contact Number,After I’ve gone through a really dangerous experience  ,I’d rather  ,Call me a name and  ,In love and war  ,When I go to parties  ,some people have told me  ,  so-called effeminate men  ,Using drugs or alcohol to “encourage” a woman to have sex with you is  ,  I like ,so-called prick teasers ,When I have had a few drinks ,Any man who is a man  ,When I have a drink or two ,When it comes to taking risks ,In conflicts with others ,Getting into fights,When I feel like fighting I  ,"Given what I know about fighting,  ",  When I’m bored ,I like to ,so-called pick-ups should    ,  In my opinion  ,  When it comes to having sex  ,   I would prefer to be a  ,Lesbians have a particular lifestyle  ,"If someone challenges you to a fight,  ","  If you insult me,  ","Has anyone touched your sex organs in a sexual manner or against your will?  If yes, how old were you when it first happened?","Has anyone ever forced you to touch his or her sex organs in a sexual manner and against your will?  If yes, how old were you when it first happened?","Has anyone tried to force you to have sexual intercourse against your will? If yes, how old were you when it first happened?","Have you ever had another unwanted or threatening sexual experience that is not named above? If yes, how old were you when it first happened?","If you ever had another unwanted or threatening sexual experience that is not named above, can you give a short description of what it involved?","If you have had one of the above experiences, have you ever discussed it with anyone? If yes, with whom?","Have you ever intentionally been treated by someone in such a way that you suffered physical injury (for example beaten, stamped on, kicked or pushed)?
(Physical injury means, for example: bruises, welts, broken nose, broken teeth, broken bones, cuts, burns and loss of consciousness). If yes, how old were you when it first happened?","Have you ever experienced something that is not listed above and which you have perceived as violent? If yes, how old were you when it first happened?","If you ever experienced something that is not listed above and which you have perceived as violent, can you describe briefly?","If you have ever experienced one of these things (physical violence or physical injury due to someone), have you ever discussed it with anyone?","If you have had one of the above experiences, would you like to talk to someone about it?",I am ashamed of how few sexual experiences I’ve had at this point  ,I often feel guilty or ashamed after masturbating  ,"If I could get rid of my interest in sex, I would  ",I am comfortable with my body  ,I have had sexual experiences with other men that I would be ashamed to tell anyone about  ,I am confident in my ability to please my partners in bed  ,I am good at sex  ,I have had sexual thoughts that I would be ashamed to tell anyone about  ,I find it uncomfortable to look at myself while naked  ,It would be better if I had a lower sex drive  ,I am ashamed that I use/have used pornography  ,My lack of sexual experiences makes me feel like less of a man  ,I wish I didn’t need as much sex as I do  ,I worry that most men have had more sex than me  ,I would feel better about myself if I viewed less porn than I do  ,I am self-conscious about the way my body looks  ,I have engaged in sexual acts that I would be ashamed to tell anyone about  ,I worry about being able to sexually satisfy my partner(s)  ,I usually tell people I’ve had FEWER sexual partners than I’ve had  ,I worry about being rejected because of my body  ,I am comfortable with the amount of sex I need  ,I feel bad about wanting to masturbate  ,I would feel better about myself if I had more sexual experiences  ,I feel sexually inadequate  ,Watching pornography makes me feel bad about myself  ,I am embarrassed by my sexual functioning or performance  ,I’ve told others that I am MORE sexually experienced than I really am to escape ridicule  ,"As best I can, I avoid seeing myself naked  ",I feel bad about liking sex  ,I’ve told people that I am LESS sexually experienced than I really am to escape ridicule  
Rishabh Tandon,23,Male,rishabhtandon@gmail.com,7710777468,8,8,1,2,3,5,5,1,10,5,5,4,8,4,1,10,5,1,1,1,9,8,8,10,6,8,5,No,No,No,No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Yes,No,No,No,No,1,1,1,5,1,4,3,1,1,5,1,1,2,5,3,4,4,4,1,1,2,3,5,2,3,2,3,2,1,3
Rohan Bhatt,24,Male,rohanbhatt@gmail.com,8323500919,10,10,10,6,8,4,3,1,10,5,7,5,1,2,10,10,4,5,5,1,10,6,5,4,1,10,3,No,No,No,No,Na,No,Yes,No,Not Relevant ,No,No,1,4,2,5,1,5,5,1,3,3,3,1,2,2,3,4,1,3,1,1,4,3,3,3,2,1,4,2,1,3
Ronit Dutta,22,Male,ronitdutta@gmail.com,9837963824,8,6,9,1,3,10,4,7,7,4,5,9,10,7,10,9,2,2,6,1,6,10,3,10,1,10,10,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,No,No,Na,No,Don't know,3,3,3,3,3,3,4,1,5,4,3,1,4,1,1,3,1,1,3,3,2,1,1,4,3,2,4,3,3,1
Sahil Verma,27,Male,sahilverma@gmail.com,8841487760,1,8,5,10,6,7,1,1,10,3,3,10,7,8,7,5,7,2,3,4,6,5,9,10,2,4,5,"Yes, I was 6 year old or older, but less than 12 year old",No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)","Yes, I was 16 year old or older","Yes, I was 6 year old or older, but less than 12 year old",No,Yes,Yes,3,1,2,5,1,5,1,1,2,5,2,1,1,4,1,3,1,2,2,3,4,3,2,1,2,3,3,5,1,1
Samar Kapoor,21,Male,samarkapoor@gmail.com,7852408216,8,7,10,10,4,7,3,1,10,4,5,7,1,3,10,1,3,1,9,3,10,9,1,10,5,8,3,No,No,No,No,No,No,No,No,Nothing,Yes,No,1,3,2,5,1,2,5,5,3,2,3,1,3,1,1,3,1,4,3,4,3,2,3,1,1,3,2,2,2,4
Shaurya Mehra,27,Male,shauryamehra@gmail.com,8385308497,10,10,10,9,1,7,3,5,1,6,7,7,1,4,5,8,8,8,1,4,7,10,1,1,1,5,1,No,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,2,1,3,5,2,4,4,4,3,1,1,1,3,4,1,5,1,1,5,1,3,5,4,1,1,1,1,1,2,3
Shivansh Chandra,18,Male,shivanshchandra@gmail.com,8624413530,5,7,5,3,10,2,9,7,10,1,7,10,9,5,7,5,6,2,1,3,10,4,8,7,5,10,5,"Yes, I was 16 year old or older","Yes, I was 16 year old or older",No,No, It’s ok to have ,No,No,No,No,No,No,1,1,3,5,1,5,5,1,2,2,1,3,2,1,1,4,1,3,1,1,5,3,1,1,2,1,4,3,2,2
Tanay Goyal,27,Male,tanaygoyal@gmail.com,6689168663,7,7,5,1,8,8,9,9,10,5,5,3,1,3,8,7,4,4,1,1,10,7,5,10,5,5,5,Yes,"Yes, I was less than 6 year old",No,"Yes, I was less than 6 year old",No ,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,"Yes, I was 12 year old or older, but less than 16 year old",No strong enough mentally and physically to scare them away,No,Yes,1,3,2,4,5,5,4,3,2,1,1,1,5,5,1,3,2,4,4,1,3,1,1,1,1,1,3,2,2,2
Tanishq Saxena,18,Male,tanishqsaxena@gmail.com,7607492165,1,7,2,10,9,9,3,1,7,3,3,5,9,8,6,5,7,4,9,4,3,9,4,7,5,2,1,"Yes, I was 16 year old or older","Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 12 year old or older, but less than 16 year old",No,No,"Yes, I have discussed it with a relative",No,"Yes, I was 6 year old or older, but less than 12 year old",Nothing,No,No,3,5,3,1,1,5,4,3,3,3,1,1,3,2,4,1,3,1,5,1,4,3,4,1,2,1,2,1,1,3
Vihaan Reddy,22,Male,vihaanreddy@gmail.com,8563229825,10,1,10,10,1,6,6,5,10,7,6,1,3,2,2,8,2,6,6,8,10,10,1,10,10,10,3,Yes,"Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 16 year old or older",No,No,"Yes, I have discussed it with a relative",No,No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",Don't know,1,1,1,5,1,5,2,3,1,3,1,4,2,4,2,3,1,3,5,1,5,2,3,3,4,1,4,2,1,1
Yash Jain,18,Male,yashjain@gmail.com,6748344049,4,4,8,8,10,1,1,1,8,4,1,5,5,4,5,5,4,6,1,6,8,1,1,10,1,4,1,"Yes, I was 16 year old or older","Yes, I was 6 year old or older, but less than 12 year old","Yes, I was 16 year old or older",No, It’s ok to have ,No,No,No,No,Yes,No,2,4,3,5,1,5,4,3,5,2,5,2,2,4,1,2,4,3,5,4,3,3,1,2,1,2,2,1,1,3
Yuvraj Singh,29,Male,yuvrajsingh@gmail.com,7923878112,3,10,9,10,10,3,1,6,5,5,1,6,7,10,9,10,10,4,1,6,2,4,1,3,1,10,1,No,No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,No,No,No,No,Don't know,4,1,1,5,3,5,1,1,2,1,3,2,3,2,4,1,1,1,3,1,5,5,5,2,1,1,2,4,2,3
Adarsh Sharma,24,Male,adarshsharma@gmail.com,6158045481,1,3,5,8,7,5,1,1,10,4,5,10,10,7,9,4,7,10,5,5,5,5,1,2,10,4,3,No,No,No,No,No,No,No,No,Nothing,No,Yes,1,1,1,5,2,3,5,4,1,2,1,1,3,5,3,5,1,3,1,4,2,3,5,3,1,1,1,2,3,3
Ayaan Mehta,22,Male,ayaanmehta@gmail.com,8179922444,7,2,9,5,9,1,1,1,1,5,1,3,5,6,1,8,3,9,6,3,10,5,9,7,3,5,1,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No, It’s ok to have ,No,No,No,Nothing,Yes,Not applicable,5,1,3,5,1,3,5,4,5,5,3,1,1,1,3,3,1,2,3,1,3,1,5,3,1,2,1,3,2,4
Darshan Patel,20,Male,darshanpatel@gmail.com,9866890548,5,4,8,10,5,4,5,1,10,3,5,3,7,10,6,4,5,5,7,2,1,10,1,6,1,9,1,No,No,No,No,Na,No,No,No,Commenting ,Yes,Yes,1,4,2,4,2,5,4,2,1,5,3,1,2,2,1,4,3,2,4,4,4,1,5,5,2,2,4,1,3,2
Gaurav Kapoor,28,Male,gauravkapoor@gmail.com,7723575510,10,1,6,5,5,7,5,1,10,1,3,4,2,1,3,8,2,5,10,5,8,10,1,1,1,8,1,Yes,No,"Yes, I was 16 year old or older",No,Nooo,No,"Yes, I was 6 year old or older, but less than 12 year old","Yes, I was 12 year old or older, but less than 16 year old", No,No,Yes,3,2,5,5,1,5,5,1,1,1,1,4,1,1,3,3,2,1,3,2,2,4,3,3,1,1,1,3,1,3
Ishant Verma,28,Male,ishantverma@gmail.com,7062200922,1,9,6,6,1,3,5,7,10,5,8,8,3,6,5,10,4,5,5,1,10,10,10,5,1,5,1,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,No,No,No,Na,No,Yes,3,3,1,5,1,4,5,4,1,2,1,2,2,5,5,3,3,1,2,1,3,3,2,2,3,1,1,2,2,4
Kunal Malhotra,18,Male,kunalmalhotra@gmail.com,8956642002,1,10,1,10,1,1,1,3,1,4,5,6,8,5,5,10,8,2,9,1,5,10,6,6,1,5,7,No,No,No,No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,Beatings from Parents,No,Don't know,1,1,2,4,3,5,5,1,3,5,1,3,1,1,1,5,1,3,2,3,5,3,3,5,3,1,1,2,2,5
Mayur Joshi,25,Male,mayurjoshi@gmail.com,8426529979,10,5,5,3,10,7,3,1,10,4,9,10,1,5,6,10,4,5,8,6,8,9,3,3,9,9,5,"Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 16 year old or older",No,No,Nooo,No,"Yes, I was 6 year old or older, but less than 12 year old","Yes, I was 6 year old or older, but less than 12 year old",No,No,Not applicable,1,1,1,5,1,4,4,1,2,4,3,2,1,2,1,4,1,4,2,1,1,2,5,3,3,2,1,1,1,3
Neil Gupta,29,Male,neilgupta@gmail.com,8833281277,1,6,1,2,5,8,10,5,5,1,6,6,8,7,6,4,3,2,8,1,8,1,6,1,6,10,8,"Yes, I was 12 year old or older, but less than 16 year old",No,No,"Yes, I was 16 year old or older", It’s ok to have ,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,No,No,No,Not applicable,1,3,3,5,5,5,1,3,5,3,1,4,1,5,3,2,1,2,2,1,3,3,3,2,1,2,2,2,4,5
Omkar Rao,24,Male,omkarrao@gmail.com,8802224203,10,1,5,6,7,8,5,1,10,3,7,2,1,1,8,10,1,4,1,1,3,4,5,6,9,10,5,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,No,No,No,"Yes, I was 6 year old or older, but less than 12 year old",Na,No,No,5,3,2,4,2,5,4,2,1,4,1,3,1,2,1,1,2,2,2,2,3,2,1,3,3,1,3,3,2,1
Pratik Desai,22,Male,pratikdesai@gmail.com,6733987083,5,5,10,1,10,7,9,1,10,7,1,5,10,10,1,5,3,5,4,1,5,7,9,1,10,1,1,"Yes, I was 6 year old or older, but less than 12 year old",No,"Yes, I was 6 year old or older, but less than 12 year old",No,No,No,No,No,Nothing,No,No,2,2,3,4,1,3,4,5,1,1,1,1,5,1,1,5,3,5,4,4,2,2,3,1,3,1,4,3,3,1
Ritesh Choudhary,22,Male,riteshchoudhary@gmail.com,9403653920,5,10,9,4,10,5,1,6,4,4,5,5,1,10,10,5,5,1,8,9,7,10,5,10,1,5,1,"Yes, I was 16 year old or older",Yes,"Yes, I was 16 year old or older","Yes, I was 16 year old or older",Nothing ,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,No,No,No,4,5,1,5,1,5,3,4,2,1,1,3,1,2,5,4,1,4,3,2,2,4,5,1,3,1,3,2,4,3
Samar Singh,25,Male,samarsingh@gmail.com,9944467741,5,2,5,2,1,1,5,4,5,10,1,9,9,10,1,8,3,10,1,4,5,10,2,10,1,9,1,No,Yes,No,No,Nothing,No,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Not applicable,3,2,1,4,4,5,5,3,2,5,2,3,1,5,1,3,4,4,2,4,2,2,1,3,2,1,3,1,2,4
Shivendra Nair,24,Male,shivendranair@gmail.com,8681010823,1,8,8,1,6,8,5,1,7,4,3,5,6,2,5,9,1,9,5,1,5,9,6,1,5,8,5,No,No,No,No,Nothing,No,No,"Yes, I was 12 year old or older, but less than 16 year old",No,Yes,Yes,1,3,5,5,1,5,5,2,3,2,2,3,3,1,3,3,3,1,3,2,4,5,2,3,1,1,2,1,2,1
Tanveer Bhatia,24,Male,tanveerbhatia@gmail.com,7589486561,8,6,8,3,10,5,5,1,1,4,8,6,7,8,9,4,3,4,10,4,2,7,3,3,3,1,1,No,"Yes, I was 12 year old or older, but less than 16 year old","Yes, I was 16 year old or older",No,Nooo,Yes,No,No,No strong enough mentally and physically to scare them away,No,No,1,1,3,5,1,2,4,4,1,2,3,3,5,1,1,2,3,3,3,2,3,3,4,3,1,2,2,1,3,1
Varun Khanna,24,Male,varunkhanna@gmail.com,7361309445,4,1,8,1,1,4,6,10,5,5,10,7,7,2,5,5,3,5,5,3,10,10,1,2,6,4,5,"Yes, I was 12 year old or older, but less than 16 year old",No,No,No,Nothing,"Yes, I have discussed it with a relative",No,No,Not Relevant ,No,Yes,1,3,2,5,1,4,4,3,1,1,3,1,1,1,2,2,1,3,5,3,3,1,3,3,5,1,1,3,2,1
Vikram Bhatt,26,Male,vikrambhatt@gmail.com,8861692495,4,2,5,4,10,8,10,1,5,6,10,2,5,10,1,8,1,1,1,5,5,8,1,1,6,10,5,"Yes, I was 16 year old or older",No,No,No,No,No,No,Yes,No,No,Not applicable,1,1,3,1,1,5,2,3,1,2,1,1,1,4,4,2,2,2,5,1,5,5,3,3,2,3,1,1,3,2
Yashvardhan Tandon,20,Male,yashvardhantandon@gmail.com,6999210375,3,7,6,4,5,1,9,1,10,6,5,7,1,7,10,1,1,4,7,3,10,7,3,5,1,10,6,No,No,No,No,No,"Yes, I have discussed it with a boyfriend(s) or a girlfriend(s)",No,No,No,Yes,No,1,1,1,4,5,5,3,4,4,3,1,1,1,1,1,2,2,3,1,3,5,3,5,2,1,1,1,3,1,4
Aadesh Goyal,28,Male,aadeshgoyal@gmail.com,9815649837,1,10,5,3,3,5,5,1,5,5,5,4,8,2,2,5,4,6,3,1,6,10,1,3,5,5,1,No,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Nothing ,No,No,No,No,"Yes, I have discussed it with non-medical workers (for example: teacher, church elder, minister, priest)",No,5,1,1,4,1,5,5,4,1,1,3,1,2,1,4,3,3,3,2,1,5,2,4,3,2,1,2,1,2,1
Akarsh Reddy,26,Male,akarshreddy@gmail.com,6684147713,10,5,3,2,10,5,3,7,10,3,1,7,5,10,4,5,5,1,4,1,10,5,1,5,1,1,5,No,No,"Yes, I was 12 year old or older, but less than 16 year old",Yes,Na,No,No,No,Commenting ,Yes,Yes,1,1,5,3,1,5,4,1,5,2,2,4,2,2,1,2,1,3,1,1,2,3,3,2,4,2,2,2,2,1
Anshuman Jain,28,Male,anshumanjain@gmail.com,7245696249,5,10,3,6,8,5,5,1,7,5,6,6,10,1,6,8,2,10,1,1,10,4,5,10,5,5,7,No,No,No,No,No,No,No,No,Commenting ,No,No,2,2,3,4,1,5,5,4,2,5,1,3,2,5,1,5,1,2,1,1,4,4,4,1,3,1,1,2,1,2
Darsh Mehra,19,Male,darshmehra@gmail.com,9163349839,1,9,10,10,10,4,3,6,10,6,5,5,10,5,5,10,10,5,10,8,6,10,1,1,5,10,5,"Yes, I was 16 year old or older",Yes,No,No, It’s ok to have ,No,No,No,Beatings from Parents,No,No,2,3,1,4,3,3,3,4,2,3,1,4,3,5,1,2,4,1,3,4,2,4,3,5,2,1,3,1,1,5
